"probe","EntrezGene.ID","HUGO.gene.symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NM_004392",1602,"DACH1",-0.44281375502008,-0.0824421364985163,-13.5137490049473,1.35653097285942e-33,3.28804304421499e-31,65.5757438284971
"Contig63748_RC",NA,NA,-0.389130887185104,-0.0657091988130564,-13.5061803786072,1.45031582418167e-33,3.4809001658619e-31,65.5096193165178
"Contig54667_RC",135112,"NCOA7",0.389926843738591,-0.0789584569732938,13.4239304333634,2.99683417813113e-33,7.12286383639108e-31,64.7917391077278
"L07033",3155,"HMGCL",-0.21386213033954,-0.0354718100890208,-13.4179114263644,3.16014236522174e-33,7.43879281182629e-31,64.7392565088077
"NM_002250",3783,"KCNN4",0.452362814895948,-0.0692611275964392,13.3985426843765,3.74834557460285e-33,8.73935695350975e-31,64.5704193270977
"NM_003088",6624,"FSCN1",0.243695326761592,-0.0104688427299703,13.3813989562278,4.35943183278496e-33,1.00682311979631e-30,64.4210390951547
"Contig42402_RC",132864,"CPEB2",-0.381856334428623,-0.0571750741839763,-13.367142546849,4.94258860973319e-33,1.13083655845681e-30,64.2968614422363
"M29874",1555,"CYP2B6",-0.670188024826579,-0.322362017804154,-13.3643986139781,5.06345342893255e-33,1.14776299438609e-30,64.2729655748877
"Contig399_RC",64284,"RAB17",-0.416696847507331,-0.0888244047619048,-13.3434824804823,6.33175806239587e-33,1.42038094618016e-30,64.0524680558891
"NM_012067",22977,"AKR7A3",-0.605634629426798,-0.249445103857567,-13.3381019107311,6.38217001265541e-33,1.42038094618016e-30,64.044033542283
"Contig37778_RC",257236,"CCDC96",-0.280492037113973,-0.0280089285714286,-13.3383656132805,6.62307379450267e-33,1.46071594201099e-30,64.0080314155156
"NM_019027",54502,NA,-0.293171823658269,-0.0395311572700297,-13.2893315949572,9.8002921471396e-33,2.14215135762611e-30,63.6198189997825
"AL133622",23030,"JMJD2B",-0.261857657904345,-0.00335014836795252,-13.2549535798222,1.32560968202267e-32,2.86067955419483e-30,63.3210809503663
"Contig14796_RC",NA,NA,0.226899572852397,-0.00790030211480362,13.2812410043291,1.33212478729713e-32,2.86067955419483e-30,63.3199404281604
"Contig36152_RC",NA,NA,0.282284775465498,-0.031299703264095,13.2342782431557,1.58948576191701e-32,3.38366964673828e-30,63.1415326827697
"NM_004642",8099,"CDK2AP1",0.243691401971522,-0.0135341246290801,13.2248170368643,1.72711909676408e-32,3.64496574205874e-30,63.0593991925306
"NM_006460",10614,"HEXIM1",-0.249191584519898,-0.0337655786350148,-13.212866048397,1.91808330932635e-32,4.0133844013349e-30,62.9556780933811
"NM_003975",9047,"SH2D2A",0.381446193866374,-0.053646884272997,13.207854495615,2.00429981341782e-32,4.15824268917642e-30,62.9121922558252
"NM_001673",440,"ASNS",0.328560240963855,-0.0492640949554896,13.1594596553372,3.06367490992013e-32,6.30267440922309e-30,62.4925332409072
"K02403",NA,NA,-0.664219331872946,-0.237385756676558,-13.127298831883,4.06058816097127e-32,8.24972089962784e-30,62.21392002443
"NM_000874",3455,"IFNAR2",0.211860533041256,-0.00335608308605341,13.1268237692141,4.07751410830836e-32,8.24972089962784e-30,62.2098061337246
"NM_018728",55930,"MYO5C",-0.32681220335889,-0.0613115727002967,-13.1121006603131,4.63845171709467e-32,9.30769971198316e-30,62.0823324376023
"NM_003197",6500,"SKP1A",-0.242255385177072,-0.0452314540059347,-13.1042734552013,4.96734301816332e-32,9.88662800224847e-30,62.0145826993575
"NM_004900",9582,"APOBEC3B",0.296357794815626,-0.0572433234421365,13.0969798927466,5.294705717533e-32,1.04532008605585e-29,61.9514637416848
"Contig17105_RC",56169,"MLZE",0.222623128879153,-0.0169673590504451,13.0950667257606,5.38408133503544e-32,1.05446156130402e-29,61.9349089502201
"Contig8347_RC",84959,NA,0.19628995601173,0.0083125,13.0848036588467,6.11271696236706e-32,1.18766209488657e-29,61.8099894044417
"Contig48004_RC",127733,"UBXD3",-0.332818136181088,-0.0594421364985163,-13.0724800352244,6.56013179203516e-32,1.2645557984316e-29,61.7395236372868
"M83822",987,"LRBA",-0.262889558232932,-0.0472581602373887,-13.0660307397785,6.94069716204376e-32,1.32746255643745e-29,61.6837543321611
"X56807",1824,"DSC2",0.377027382256298,-0.0500296735905044,13.0528390677012,7.78906045855425e-32,1.47817045802997e-29,61.569709235103
"NM_018194",55733,"HHAT",-0.332673590915386,-0.0554880952380952,-13.0523915896569,8.1131983729498e-32,1.52784007206295e-29,61.5302016868078
"Contig49855",126823,NA,-0.419717095655349,-0.0967121661721068,-12.9649211351032,1.67821500099537e-31,3.13459900685362e-29,60.8106039947492
"Contig41804_RC",NA,NA,-0.484899963490324,-0.120448071216617,-12.9638424744174,1.69407669773084e-31,3.13459900685362e-29,60.8013010949807
"NM_003217",7009,"TEGT",-0.216304125593282,-0.0329970326409496,-12.9632427557942,1.70296012381656e-31,3.13459900685362e-29,60.7961289381038
"NM_019063",27436,"EML4",0.209795591456736,0.0201810089020772,12.9488738624271,1.9302600436596e-31,3.52646986036049e-29,60.6722310023688
"Contig53646_RC",NA,NA,-0.287112677984666,-0.0451899109792285,-12.9420093438163,2.04928820248903e-31,3.71619440630622e-29,60.6130568191431
"NM_017786",55638,NA,-0.383458333333333,-0.0777982195845697,-12.9035186799107,2.86572473336289e-31,5.15851523510713e-29,60.2814504113836
"Contig57272_RC",202018,NA,-0.201501688572472,-0.0118545994065282,-12.8842089799507,3.39031320136772e-31,6.05826696953891e-29,60.1152177132007
"NM_016337",51466,"EVL",-0.308320646221249,-0.0456676557863501,-12.8725095856275,3.75365887047101e-31,6.65893643536237e-29,60.0145412498268
"NM_006739",4174,"MCM5",0.257053714859438,-0.0245548961424332,12.8547412041772,4.38107292853142e-31,7.71604650096242e-29,59.8616987671606
"NM_003508",8326,"FZD9",0.375694596568091,-0.126454005934718,12.8417134170853,4.90656352872321e-31,8.57982726761949e-29,59.7496801490684
"NM_018166",55194,"C1orf78",-0.376670099667774,-0.0919516616314199,-12.8512742657625,5.58886397253186e-31,9.70361552564201e-29,59.6252401259581
"NM_003360",7368,"UGT8",0.328275648046732,-0.0134629080118694,12.8159429393625,6.13826335032319e-31,1.05824524703706e-28,59.5282084220185
"AF234532",4651,"MYO10",0.344363134355604,-0.0742017804154303,12.7418550004767,1.16765795895211e-30,1.99898143308437e-28,58.8923485575489
"Contig42751_RC",260436,"C4orf7",0.711451898503103,-0.856240356083086,12.715571359983,1.46641837659686e-30,2.49301307482415e-28,58.6670764308049
"NM_014640",NA,NA,0.203372535596933,0.0109495548961424,12.6970076887668,1.72225267868915e-30,2.90775640186132e-28,58.508068639821
"NM_005325",3024,"HIST1H1A",0.432540571376415,-0.120899109792285,12.6927850413209,1.78639760825242e-30,2.99539724983751e-28,58.4719107668726
"NM_016569",6926,"TBX3",-0.448727227090179,-0.132709198813056,-12.6623805357565,2.32420710901251e-30,3.87067443780512e-28,58.2116866247863
"NM_004848",9473,"C1orf38",0.225881179891982,0.00223809523809524,12.6651791555539,2.34612904341672e-30,3.88078277783006e-28,58.2034401794949
"Contig55377_RC",146923,"RUNDC1",-0.251102617366016,-0.0365357142857143,-12.6635582560916,2.37923433544297e-30,3.90912991717982e-28,58.1895865032406
"NM_000156",2593,"GAMT",-0.213987769258853,0.00497329376854599,-12.6434706881821,2.7372401896836e-30,4.46735847224295e-28,58.0499533560928
"Contig25290_RC",NA,NA,-0.311076350857977,-0.069620178041543,-12.6377730473395,2.87547663556274e-30,4.66189029902062e-28,58.0012390189188
"AF155652",56888,"KCMF1",0.168820646221249,-0.0177596439169139,12.6354947492571,2.93268103482158e-30,4.72335292193862e-28,57.9817619472517
"Contig56298_RC",79650,"C16orf57",0.173430996714129,0.0119020771513353,12.6343937556176,2.96073037238404e-30,4.73736210760351e-28,57.9723500470177
"AF176012",56521,"DNAJC12",-0.400790297553851,-0.121014836795252,-12.6332516369349,2.99011004205006e-30,4.75330415191087e-28,57.9625868949735
"U17077",7851,"MALL",0.334456918583425,-0.0824391691394659,12.6321836126156,3.0178465968306e-30,4.76644532496838e-28,57.9534574060093
"NM_005742",10130,"PDIA6",0.204178806133625,-0.0224302670623145,12.6202580759832,3.34552729374552e-30,5.25011882552462e-28,57.8515363670111
"D80010",23175,"LPIN1",0.254519318653926,-0.0405595238095238,12.608969474841,3.81260363351869e-30,5.94499041733574e-28,57.7233870317814
"NM_003568",8416,"ANXA9",-0.293856106243154,-0.05086646884273,-12.5970786003376,4.08729530180404e-30,6.33297951161169e-28,57.6535322367444
"NM_001207",689,"BTF3",-0.19364334611172,0.00015727002967359,-12.5840409224623,4.5743554176441e-30,7.04306886662549e-28,57.5422187447506
"Contig53401_RC",2737,"GLI3",-0.3372677528295,-0.0562908011869436,-12.5790789904331,4.77456120445621e-30,7.30537705289328e-28,57.4998654613706
"NM_016056",51643,"TMBIM4",-0.231862536656891,-0.0379315476190476,-12.579530298654,4.91509507436076e-30,7.47369208170346e-28,57.4718139795599
"AL080192",NA,NA,-0.281552893391749,-0.0424569732937685,-12.5709657119518,5.12090441472318e-30,7.73857166523693e-28,57.4306263278229
"NM_003740",8645,"KCNK5",0.392816538882804,-0.105195845697329,12.5699157971918,5.16751617795515e-30,7.76110205843681e-28,57.4216674746189
"NM_001806",1054,"CEBPG",0.218772101603519,-0.0017969696969697,12.5827080968532,5.84581962555075e-30,8.72631160079926e-28,57.3046220810924
"NM_006770",8685,"MARCO",0.309429441905553,-0.0898035714285714,12.5498837358089,6.34640618693162e-30,9.41614362801655e-28,57.2195908681698
"NM_002661",5336,"PLCG2",0.227830640744797,-0.00932640949554896,12.5411964277277,6.62032961674452e-30,9.75550820606908e-28,57.1767115643331
"U45975",27124,"PIB5PA",-0.435929445052939,-0.122608308605341,-12.5405935924178,6.6548338320066e-30,9.75550820606908e-28,57.1715719728569
"NM_002444",4478,"MSN",0.261937266306605,-0.0518958333333333,12.5308471390451,7.47741879715426e-30,1.08961124745913e-27,57.0574557350852
"Contig52641_RC",NA,NA,-0.267168994158452,-0.0248575667655786,-12.5137739725193,8.38565535906913e-30,1.21472916476551e-27,56.9430065973998
"NM_012219",22808,"MRAS",0.250133673903789,0.0160060606060606,12.5370985621266,8.64189073283663e-30,1.24448310017984e-27,56.9181831307857
"AL110139",400451,NA,-0.306166255932822,-0.0460890207715134,-12.5081699373127,8.80047610078907e-30,1.25990909604337e-27,56.8952696590096
"NM_004923",9633,"MTL5",-0.393044274159217,-0.0969787878787879,-12.5193051181261,1.00642190962701e-29,1.43245434706854e-27,56.7675574468456
"NM_003225",7031,"TFF1",-0.887062725270324,-0.663285714285714,-12.5726681364748,1.07853425523627e-29,1.52621948569012e-27,56.7087498528827
"AL117452",25902,"MTHFD1L",0.352332055494706,-0.0523738872403561,12.480909599092,1.1129122873766e-29,1.56581641995785e-27,56.6631686890239
